what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496343134707
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1496343134707
java.specification.name,sysinfo,,,"Java Platform API Specification",1496343134707
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496343134712
java.specification.version,sysinfo,,,"1.8",1496343134712
java.vendor,sysinfo,,,"Oracle Corporation",1496343134712
java.version,sysinfo,,,"1.8.0_131",1496343134712
java.vm.info,sysinfo,,,"mixed mode",1496343134712
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1496343134712
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496343134712
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496343134712
java.vm.specification.version,sysinfo,,,"1.8",1496343134712
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496343134712
java.vm.version,sysinfo,,,"25.131-b11",1496343134712
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1496343134725
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1496343134770
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1496343134799
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1496343134960
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1496343134991
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1496343135000
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1496343135105
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1496343135281
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1496343135281
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1496343135304
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1496343135323
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1496343135493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343474474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343479453
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1496343504942
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1496343505309
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1496343505345
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1496343506875
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343506966
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1496343507006
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343507418
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1496343507481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343507563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343513787
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1496343521038
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1496343521381
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1496343534338
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496343537277
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496343537342
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343537405
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496343540928
activated,perspective,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CPerspective",1496343540990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343541493
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343544489
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1496343548362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343550980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496343577716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496343577725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343577870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343588442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496343600015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343600137
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343600322
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343608949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343620492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496343659670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496343659671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343659783
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343661875
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343667451
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343668395
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343673388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1496343689240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1496343691051
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343695953
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343698237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343713590
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343738158
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343738311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343739072
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343741383
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496343851281
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496343884811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496343888346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344161521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344168105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344175409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344180641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344187913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344194376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344200609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344208232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344213376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344218936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496344224336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1496344248977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344249051
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496344249889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344255662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344256062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344256121
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1496344259439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344259631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344270667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344271126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344271217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344271593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344271619
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1496344274562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344274660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344278753
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1496344283042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344328492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344333123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344334020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344334100
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1496344336097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344336344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496344339857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349612389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349612420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349614260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349629908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349643747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496349647281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496392751216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496392761263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496400833621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496400834978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402069573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402072138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402245109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402251808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402252200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402252383
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1496402254376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402254501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402267849
error,log,,,"A program file was not specified in the launch configuration.",1496402305487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402420100
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496402432597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402438108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402444765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402460006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402475318
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496402482725
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1496402490361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402493575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402499367
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496402504115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402537164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496402561947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1496402561947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402562100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402587942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402620842
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496402621503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402652160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402654385
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496402655740
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1496402656774
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496402657500
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496402676763
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496402682312
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496402684044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402699928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402716391
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496402716514
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496402718113
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496402730444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402749769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402828484
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496402859686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496402875516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496402878417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496402879569
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496402897417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496402899031
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496402980963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496402994407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496402998316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496403019475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496403023125
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496403024716
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496403027317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496403050994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496403054853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496406275801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496408085055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496408116270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496408119861
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408168304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1496408174183
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408181654
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408184720
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408186342
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408194408
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408196619
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408199510
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408204115
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408208214
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496408213167
